id,attemptId,questionId,chosenOption,createdAt,updatedAt
1,1,1,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
2,1,2,0,"2022-03-22 00:00:00","2022-03-29 00:00:00"
3,1,3,0,"2023-05-10 00:00:00","2023-05-13 00:00:00"
4,1,4,0,"2023-07-19 00:00:00","2023-07-28 00:00:00"
5,1,5,0,"2024-02-28 00:00:00","2024-03-02 00:00:00"
6,1,6,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
7,1,7,0,"2022-09-13 00:00:00","2022-09-18 00:00:00"
8,1,8,2,"2023-12-25 00:00:00","2023-12-28 00:00:00"
9,1,9,2,"2024-04-17 00:00:00","2024-04-19 00:00:00"
10,1,10,3,"2022-06-30 00:00:00","2022-07-10 00:00:00"
11,2,1,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
12,2,3,3,"2022-03-22 00:00:00","2022-03-29 00:00:00"
13,2,4,0,"2023-05-10 00:00:00","2023-05-13 00:00:00"
14,2,6,0,"2023-07-19 00:00:00","2023-07-28 00:00:00"
15,2,7,2,"2024-02-28 00:00:00","2024-03-02 00:00:00"
16,3,1,3,"2024-11-05 00:00:00","2024-11-05 00:00:00"
17,3,2,1,"2022-09-13 00:00:00","2022-09-18 00:00:00"
18,3,3,2,"2023-12-25 00:00:00","2023-12-28 00:00:00"
19,3,4,1,"2024-04-17 00:00:00","2024-04-19 00:00:00"
20,3,5,0,"2022-06-30 00:00:00","2022-07-10 00:00:00"
21,3,6,0,"2022-01-15 00:00:00","2022-01-20 00:00:00"
22,3,7,3,"2022-03-22 00:00:00","2022-03-29 00:00:00"
23,3,8,2,"2023-05-10 00:00:00","2023-05-13 00:00:00"
24,3,9,1,"2023-07-19 00:00:00","2023-07-28 00:00:00"
25,3,10,3,"2024-02-28 00:00:00","2024-03-02 00:00:00"
26,4,1,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
27,4,2,0,"2022-09-13 00:00:00","2022-09-18 00:00:00"
28,4,3,0,"2023-12-25 00:00:00","2023-12-28 00:00:00"
29,4,4,0,"2024-04-17 00:00:00","2024-04-19 00:00:00"
30,4,5,3,"2022-06-30 00:00:00","2022-07-10 00:00:00"
31,4,6,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
32,4,7,0,"2022-03-22 00:00:00","2022-03-29 00:00:00"
33,4,8,2,"2023-05-10 00:00:00","2023-05-13 00:00:00"
34,5,2,3,"2023-07-19 00:00:00","2023-07-28 00:00:00"
35,5,3,1,"2024-02-28 00:00:00","2024-03-02 00:00:00"
36,5,4,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
37,5,5,3,"2022-09-13 00:00:00","2022-09-18 00:00:00"
38,5,6,2,"2023-12-25 00:00:00","2023-12-28 00:00:00"
39,5,7,1,"2024-04-17 00:00:00","2024-04-19 00:00:00"
40,5,8,0,"2022-06-30 00:00:00","2022-07-10 00:00:00"
41,6,1,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
42,6,3,2,"2022-03-22 00:00:00","2022-03-29 00:00:00"
43,6,4,2,"2023-05-10 00:00:00","2023-05-13 00:00:00"
44,6,5,3,"2023-07-19 00:00:00","2023-07-28 00:00:00"
45,6,6,2,"2024-02-28 00:00:00","2024-03-02 00:00:00"
46,6,7,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
47,6,8,0,"2022-09-13 00:00:00","2022-09-18 00:00:00"
48,6,9,0,"2023-12-25 00:00:00","2023-12-28 00:00:00"
49,6,10,0,"2024-04-17 00:00:00","2024-04-19 00:00:00"
50,7,11,1,"2022-06-30 00:00:00","2022-07-10 00:00:00"
51,7,14,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
52,7,16,3,"2022-03-22 00:00:00","2022-03-29 00:00:00"
53,7,17,1,"2023-05-10 00:00:00","2023-05-13 00:00:00"
54,7,18,3,"2023-07-19 00:00:00","2023-07-28 00:00:00"
55,7,19,0,"2024-02-28 00:00:00","2024-03-02 00:00:00"
56,7,20,0,"2024-11-05 00:00:00","2024-11-05 00:00:00"
57,8,11,0,"2022-09-13 00:00:00","2022-09-18 00:00:00"
58,8,13,1,"2023-12-25 00:00:00","2023-12-28 00:00:00"
59,8,14,1,"2024-04-17 00:00:00","2024-04-19 00:00:00"
60,8,15,1,"2022-06-30 00:00:00","2022-07-10 00:00:00"
61,8,17,2,"2022-01-15 00:00:00","2022-01-20 00:00:00"
62,8,18,3,"2022-03-22 00:00:00","2022-03-29 00:00:00"
63,8,19,1,"2023-05-10 00:00:00","2023-05-13 00:00:00"
64,9,11,0,"2023-07-19 00:00:00","2023-07-28 00:00:00"
65,9,12,0,"2024-02-28 00:00:00","2024-03-02 00:00:00"
66,9,13,1,"2024-11-05 00:00:00","2024-11-05 00:00:00"
67,9,14,1,"2022-09-13 00:00:00","2022-09-18 00:00:00"
68,9,15,1,"2023-12-25 00:00:00","2023-12-28 00:00:00"
69,9,16,2,"2024-04-17 00:00:00","2024-04-19 00:00:00"
70,9,17,0,"2022-06-30 00:00:00","2022-07-10 00:00:00"
71,9,18,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
72,9,19,2,"2022-03-22 00:00:00","2022-03-29 00:00:00"
73,9,20,2,"2023-05-10 00:00:00","2023-05-13 00:00:00"
74,10,22,1,"2023-07-19 00:00:00","2023-07-28 00:00:00"
75,10,23,1,"2024-02-28 00:00:00","2024-03-02 00:00:00"
76,10,24,1,"2024-11-05 00:00:00","2024-11-05 00:00:00"
77,10,25,0,"2022-09-13 00:00:00","2022-09-18 00:00:00"
78,10,26,1,"2023-12-25 00:00:00","2023-12-28 00:00:00"
79,10,27,3,"2024-04-17 00:00:00","2024-04-19 00:00:00"
80,10,29,2,"2022-06-30 00:00:00","2022-07-10 00:00:00"
81,10,30,3,"2022-01-15 00:00:00","2022-01-20 00:00:00"
82,11,32,1,"2022-03-22 00:00:00","2022-03-29 00:00:00"
83,11,34,1,"2023-05-10 00:00:00","2023-05-13 00:00:00"
84,11,35,1,"2023-07-19 00:00:00","2023-07-28 00:00:00"
85,11,36,3,"2024-02-28 00:00:00","2024-03-02 00:00:00"
86,11,37,3,"2024-11-05 00:00:00","2024-11-05 00:00:00"
87,11,38,3,"2022-09-13 00:00:00","2022-09-18 00:00:00"
88,12,41,0,"2023-12-25 00:00:00","2023-12-28 00:00:00"
89,12,42,0,"2024-04-17 00:00:00","2024-04-19 00:00:00"
90,12,43,3,"2022-06-30 00:00:00","2022-07-10 00:00:00"
91,12,44,1,"2022-01-15 00:00:00","2022-01-20 00:00:00"
92,12,45,0,"2022-03-22 00:00:00","2022-03-29 00:00:00"
93,12,46,3,"2023-05-10 00:00:00","2023-05-13 00:00:00"
94,12,47,0,"2023-07-19 00:00:00","2023-07-28 00:00:00"
95,12,48,3,"2024-02-28 00:00:00","2024-03-02 00:00:00"
96,12,49,3,"2024-11-05 00:00:00","2024-11-05 00:00:00"
97,12,50,3,"2022-09-13 00:00:00","2022-09-18 00:00:00"
98,13,41,2,"2023-12-25 00:00:00","2023-12-28 00:00:00"
99,13,42,2,"2024-04-17 00:00:00","2024-04-19 00:00:00"
100,13,43,1,"2022-06-30 00:00:00","2022-07-10 00:00:00"
