testId,text,options,points,correctOption
3,"What does IP stand for in networking?","Internet Protocol|Internal Protocol|Internet Package|Internal Package",10,0
3,"Which layer of the OSI model is responsible for routing?","Network Layer|Transport Layer|Data Link Layer|Application Layer",15,1
3,"What is the primary purpose of a router?","To forward data packets between networks|To connect devices within a local network|To filter incoming traffic|To provide wireless connectivity",10,2
3,"Which protocol is used to send email?","SMTP|HTTP|FTP|POP3",15,3
3,"What is the maximum length of a CAT5 Ethernet cable?","100 meters|200 meters|300 meters|400 meters",5,0
3,"Which of the following is a private IP address?","192.168.1.1|172.16.0.1|10.0.0.1|All of the above",10,1
3,"What does DNS stand for?","Domain Name System|Dynamic Name Service|Domain Network Service|Dynamic Network System",10,2
3,"Which protocol is used for secure data transmission over the internet?","HTTPS|HTTP|FTP|SMTP",15,3
3,"What is the function of a firewall?","To monitor and control incoming and outgoing network traffic|To provide wireless access|To connect different networks|To store data",5,0
3,"Which of the following is a common network topology?","Star|Circle|Square|Triangle",5,1
2,"What is the time complexity of accessing an element in an array?","O(1)|O(n)|O(log n)|O(n^2)",5,2
2,"Which of the following data structures uses LIFO (Last In First Out) order?","Stack|Queue|Array|Linked List",10,3
2,"What is the primary advantage of using a linked list over an array?","Dynamic size|Faster access time|Better memory locality|Easier to implement",10,0
2,"Which of the following is a characteristic of a binary search tree?","Each node has at most two children|All nodes have the same value|It is always balanced|It can have more than two children",10,1
2,"What is the worst-case time complexity for searching an element in a balanced binary search tree?","O(log n)|O(n)|O(n log n)|O(1)",10,2
2,"Which data structure is used to implement a breadth-first search (BFS)?","Queue|Stack|Array|Linked List",15,3
2,"What is the space complexity of a recursive function that uses a stack?","O(n)|O(1)|O(log n)|O(n^2)",10,0
2,"Which of the following sorting algorithms has the best average-case time complexity?","Quick Sort|Bubble Sort|Insertion Sort|Selection Sort",15,1
2,"What is the primary disadvantage of using a hash table?","Collision handling|Memory usage|Speed of access|Ease of implementation",10,2
2,"In a graph, what does it mean if two vertices are connected by an edge?","There is a direct relationship between them|They are part of the same component|They have the same value|They are both leaf nodes",5,3
1,"What is a design pattern?","A reusable solution to a common problem|A specific piece of code|A programming language|A type of software",5,0
1,"Which of the following is a creational design pattern?","Singleton|Observer|Decorator|Strategy",10,1
1,"What is the main purpose of the Factory Method pattern?","To create objects without specifying the exact class|To define a family of algorithms|To provide a unified interface for a set of interfaces|To add new functionality to an existing class",10,2
1,"Which design pattern is used to provide a simplified interface to a complex subsystem?","Facade|Adapter|Bridge|Composite",10,3
1,"What does the Observer pattern do?","Creates a one-to-many dependency between objects|Allows an object to notify other objects about changes|Encapsulates a request as an object|Provides a way to access the elements of an aggregate object sequentially",15,0
1,"Which of the following is NOT a structural design pattern?","Singleton|Decorator|Proxy|Composite",10,1
1,"What is the main benefit of using design patterns?","Improved code readability and maintainability|Faster execution time|Reduced memory usage|Easier debugging",10,2
1,"In which scenario would you use the Strategy pattern?","When you want to define a family of algorithms|When you want to create a single instance of a class|When you want to add new functionality to an existing class|When you want to provide a unified interface for a set of interfaces",10,3
1,"What is the main purpose of the Command pattern?","To encapsulate a request as an object|To create a one-to-many dependency between objects|To provide a simplified interface to a complex subsystem|To define a family of algorithms",10,0
1,"Which design pattern allows you to add new functionality to an existing class without modifying its structure?","Decorator|Adapter|Facade|Observer",10,1
